place_id,amenity,road,hamlet,city,county,state,ISO3166-2-lvl4,postcode
11343,,Avenida Segunda Sur,,,Ocozocoautla de Espinosa,Chiapas,MX-CHP,29140
11344,Pemex,Carretera Tuxtla Gutiérrez-Tonala,,,Ocozocoautla de Espinosa,Chiapas,MX-CHP,29140
11345,,Avenida Libramiento Fausto Martínez,,Piedras Negras,Municipio de Piedras Negras,Coahuila,MX-COA,26010
11346,Pemex,Carretera Transpeninsular,,,Municipio de Ensenada,Baja California,MX-BCN,
11347,,Calle 49,COL. STA MARGARITA,Ciudad del Carmen,Carmen,Campeche,MX-CAM,24100
11348,,MEX 211,,,Mazapa de Madero,Chiapas,MX-CHP,
11349,Horizon,Calzada Luis Donaldo Colosio,,La Paz,Municipio de La Paz,Baja California Sur,MX-BCS,23098
11350,Chevron,Calle Sinaloa,,La Paz,Municipio de La Paz,Baja California Sur,MX-BCS,23060
11351,Pemex E05465,Avenida de los Aztecas,,Ciudad Juárez,Municipio de Juárez,Chihuahua,MX-CHH,32290
11352,Pemex E09191,Calle Ibarrola,,,Municipio de Juárez,Chihuahua,MX-CHH,32575
11353,Pemex,MEX 15,,Culiacán,Culiacán,Sinaloa,MX-SIN,80295
11354,,Carretera Totatiche,,,Villa Guerrero,Jalisco,MX-JAL,46120
11355,Gulf,Avenida Las Palmas,,Apodaca,Apodaca,Nuevo León,MX-NLE,66612
11356,,Carretera Navolato - Altata,,Navolato,Navolato,Sinaloa,MX-SIN,80324
11357,,,,Tuxtla Gutiérrez,Tuxtla Gutiérrez,Chiapas,MX-CHP,29050
11358,Pemex,Carretera Tamazunchale-Huejulta de Reyes,El Laurel,,Tamazunchale,San Luis Potosí,MX-SLP,43021
11359,,,,,Tuxtla Gutiérrez,Chiapas,MX-CHP,29066
11360,,,,,San Ignacio,Sinaloa,MX-SIN,
11361,Pemex,MEX 190,,,Frontera Comalapa,Chiapas,MX-CHP,
11362,Pemex,Carretera Federal México-Laredo,La Quinta Chilla,,Tamazunchale,San Luis Potosí,MX-SLP,
11363,,,,Progreso,Progreso,Yucatán,MX-YUC,97329
11364,,,,,Motozintla,Chiapas,MX-CHP,
11365,,Autopista México - Morelia,,,Atlacomulco,Estado de México,MX-MEX,50490
11366,Pemex,Carretera Federal México-Laredo,San Rafael,,Tamazunchale,San Luis Potosí,MX-SLP,
11367,,Boulevard México-Laredo,,Ciudad Valles,Ciudad Valles,San Luis Potosí,MX-SLP,79040
11368,,Calle 26,,,Hermosillo,Sonora,MX-SON,
11369,,Boulevard del Pescador,,Progreso,Progreso,Yucatán,MX-YUC,97329
11370,Taxis Izamal-Merida,Calle 31,,,Izamal,Yucatán,MX-YUC,97540
11371,Pemex,MEX 190,San José Montenegro,,Frontera Comalapa,Chiapas,MX-CHP,
11372,Pemex,Boulevard México-Laredo,,Ciudad Valles,Ciudad Valles,San Luis Potosí,MX-SLP,79080
11373,,MEX 211,San Miguel,,Frontera Comalapa,Chiapas,MX-CHP,30140
11374,,Boulevard Eucaria Apreza,,,Chilapa de Álvarez,Guerrero,MX-GRO,41100
11375,,,,,Bella Vista,Chiapas,MX-CHP,
11376,"Energéticos El Ingenio, SA de CV",Calle Río Tampaón,,Ciudad Valles,Ciudad Valles,San Luis Potosí,MX-SLP,79010
11377,Pemex E03271,Carretera Julimes-Meoqui,,,Julimes,Chihuahua,MX-CHH,
11378,,Calle República de México,,Ciudad Obregón,Cajeme,Sonora,MX-SON,85000-85059
11379,,Los Mochis-Choix,,,El Fuerte,Sinaloa,MX-SIN,
11380,Pemex E01365,Calle Francisco I. Madero,,,Meoqui,Chihuahua,MX-CHH,
11381,,Avenida Benito Juárez,,Municipio de Puebla,,Puebla,MX-PUE,72595
11382,,Prolongación 2 Sur,,Municipio de Puebla,,Puebla,MX-PUE,72470
11383,,Prolongación Miguel Hidalgo,,Salamanca,Salamanca,Guanajuato,MX-GUA,36770
11384,,Avenida Granada,,,Tlajomulco de Zuñiga,Jalisco,MX-JAL,45665
11385,Pemex E03925,Avenida Fuerza Aérea Mexicana,,Chihuahua,Municipio de Chihuahua,Chihuahua,MX-CHH,
11386,,Supercarretera Queretaro-México,,,Pedro Escobedo,Querétaro,MX-QUE,76815
11387,,Circuito La Cima,,,Municipio de Querétaro,Querétaro,MX-QUE,76146
11388,,Carretera Zacatecas-Guadalajara,,,Villanueva,Zacatecas,MX-ZAC,
11389,,Calzada Revolución,,Nuevo Laredo,Municipio de Nuevo Laredo,Tamaulipas,MX-TAM,88136
11390,Pemex E09555,Avenida Tecnológico,,Chihuahua,Municipio de Chihuahua,Chihuahua,MX-CHH,31125
11391,Pemex,Carretera Libre Tijuana-Tecate,El Florido,,Municipio de Tijuana,Baja California,MX-BCN,22253
11392,Total,Lago Esmeralda,,Ciudad Adolfo Lopez Mateos,Atizapán de Zaragoza,Estado de México,MX-MEX,52977
11393,PEMEX E05396 Las Palmas,Libramiento a Sicartsa,,Lázaro Cárdenas,Lázaro Cárdenas,Michoacán,MX-MIC,60954
11394,,Boulevard de la Nación,,Santiago de Querétaro,Municipio de Querétaro,Querétaro,MX-QUE,76138
11395,,Carretera Chapala-Guadalajara,,,Ixtlahuacán de los Membrillos,Jalisco,MX-JAL,45877
11396,,Teziutlán - Perote,,,Jalacingo,Veracruz,MX-VER,73974
11397,Pemex,Calle Doctor Rafaél Cuervo X,,Veracruz,Municipio de Veracruz,Veracruz,MX-VER,91810
11398,Pemex,Calle 5 Norte,,,Fortín de las Flores,Veracruz,MX-VER,94470
11399,,Boulevard Gustavo Díaz Ordaz,,Tapachula,Tapachula,Chiapas,MX-CHP,30749
11400,,Carretera Huimanguillo-Cardenas,,,Huimanguillo,Tabasco,MX-TAB,
11401,,Avenida Francisco I. Madero,,Río Bravo,Municipio de Río Bravo,Tamaulipas,MX-TAM,88950
11402,,Carretera Cortazar-Valle de Santiago,,,Jaral del Progreso,Guanajuato,MX-GUA,38473
11403,Pemex,Avenida Tulúm,,,,Quintana Roo,MX-ROO,77784
11405,Pemex,Calle Oriente 5,,Celaya,Celaya,Guanajuato,MX-GUA,38010
11407,,Carretera Federal,,,Teziutlán,Puebla,MX-PUE,73887
11408,,Avenida Margarita Maza De Juárez,,,Tuxpan,Jalisco,MX-JAL,49800
11409,,Avenida Margarita Maza De Juárez,,,Tuxpan,Jalisco,MX-JAL,49808
11410,Santa Eugenia,Avenida Francisco I. Madero Poniente,,Morelia,Morelia,Michoacán,MX-MIC,58336
11411,,Prolongación Colinas del Sur,,Nuevo Laredo,Municipio de Nuevo Laredo,Tamaulipas,MX-TAM,88298
11412,Oxxo,Boulevard Miguel de la Madrid,,Guadalupe,Guadalupe,Nuevo León,MX-NLE,67118
11413,,Carretera Chilpancingo de Los Bravo-Tlapa de Comonfort,La Ciénega,,Chilapa de Álvarez,Guerrero,MX-GRO,41100
11414,,Calle Amatista,,,Chilapa de Álvarez,Guerrero,MX-GRO,41100
11415,Pemex,MEX 200,Teniente José Azueta (Río Papagayo),,Acapulco de Juárez,Guerrero,MX-GRO,
11416,Pemex,Libramiento Cuernavaca,,Cuernavaca,Cuernavaca,Morelos,MX-MOR,62230
11417,Shell,Avenida México Puebla,,,Coronango,Puebla,MX-PUE,72680
11418,Pemex,Calle Del Campo,,,,Baja California,MX-BCN,21705
11419,Pemex,Calle Granada,,Mexicali,,Baja California,MX-BCN,21000
11420,,Calle Miguel Alemán,,,Ignacio de la Llave,Veracruz,MX-VER,
11421,Pemex,Venta de Carpio - T.C. (Pachuca - Túxpam),Fraccionamiento las Fuentes,,Singuilucan,Hidalgo,MX-HID,43850
11422,,Calle Aldama,,Monclova,Monclova,Coahuila,MX-COA,25700
11423,,Calle Brecha 122,,Valle Hermoso,Municipio de Valle Hermoso,Tamaulipas,MX-TAM,
11424,,Calle 5 Oriente,,,Huamuxtitlán,Guerrero,MX-GRO,
11425,,Avenida Rodolfo Sánchez Taboada,,,,Baja California,MX-BCN,21963
11426,,Boulevard Internacional,,,Santa Ana,Sonora,MX-SON,84600
11427,,Calle Ignacio Zaragoza,,,Chinameca,Veracruz,MX-VER,
11428,,,,,Tetela del Volcán,Morelos,MX-MOR,
11429,,,,,Conkal,Yucatán,MX-YUC,97345
11430,,Calle Del Molinero,,,Santiago,Nuevo León,MX-NLE,64102
11431,,Poza Rica- Tampico,,,Ozuluama de Marcareñas,Veracruz,MX-VER,
11432,Pemex,Calle La Vaquería,,,Teocelo,Veracruz,MX-VER,91615
11433,PEMEX,Calle Miguel Hidalgo,Rancho Alegre,,San Salvador el Verde,Puebla,MX-PUE,74130
11434,,A Tomatlán,La Flor del Llano (Rosa Mística),,Chocamán,Veracruz,MX-VER,94160
11435,,Avenida Carretera Aeropuerto,,Nuevo Laredo,Municipio de Nuevo Laredo,Tamaulipas,MX-TAM,88284
11436,Pemex,Galeana - Cuautla,,Cuautla,Ayala,Morelos,MX-MOR,62744
11437,,Avenida América,,,Uriangato,Guanajuato,MX-GUA,38817
11438,Pemex,Avenida Lázaro Cárdenas,Fraccionamiento la Guayabita,,San Pedro Pochutla,Oaxaca,MX-OAX,70900
11439,,Calle Reforma,,Chalco de Díaz Covarrubias,Chalco,Estado de México,MX-MEX,56625
11440,Pemex,Uriangato - Cerano,,,Yuriria,Guanajuato,MX-GUA,38961
11441,,,,,Topia,Durango,MX-DUR,
11442,,Avenida Jiutepec,,,Jiutepec,Morelos,MX-MOR,62564
11443,ES 0549,Calle 60,,Mérida,Mérida,Yucatán,MX-YUC,97100
11444,,Avenida Nuevo México,,,,Estado de México,MX-MEX,55755
11445,Gasolinera,Calle Galeana,,,Villa Guerrero,Estado de México,MX-MEX,51760
11446,Morales,Calle Álamos,,,Miguel Auza,Zacatecas,MX-ZAC,98330
11447,,,,,Juan Aldama,Zacatecas,MX-ZAC,
11448,Pemex,Libramiento Cuencamé,,,Cuencamé,Durango,MX-DUR,
11449,Pemex,Carretera Libre Colima - Manzanillo,,,Armería,Colima,MX-COL,28306
11450,Pemex E01376,Calle 6a Norte,,Delicias,Delicias,Chihuahua,MX-CHH,33080
11451,,Boulevard Mauricio Castro,,,Municipio de Los Cabos,Baja California Sur,MX-BCS,23429
11452,,,,,Ixtlahuacán de los Membrillos,Jalisco,MX-JAL,45876
